"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"        Margin of Error","±1,682","","","±1,701","±257","±581","±312","±123","±313","±604","±585","±1,573","","±1,333","±1,076","±1,010","±913","±861","±876","±691","","±905","±1,884","±1,859","±1,948","","±1,437","±1,786","±1,817","±1,925","±1,253","±1,085"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","427,871","","","92.1%","0.3%","4.3%","0.7%","0.1%","0.4%","2.1%","2.6%","90.3%","","20.0%","15.4%","15.6%","21.0%","16.6%","8.4%","3.2%","","5.5%","26.5%","34.6%","33.4%","","10.8%","15.1%","24.4%","24.3%","12.7%","12.8%"
"        Margin of Error","±1,682","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","","±0.2","±0.4","±0.4","±0.4","","±0.3","±0.4","±0.4","±0.4","±0.3","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,471","","","275,009","401","8,609","1,653","68","1,079","4,652","5,581","271,193","","31,101","43,178","49,287","71,392","59,171","28,472","8,870","","12,981","73,438","96,982","108,070","","15,948","27,718","60,839","85,679","50,050","51,237"
"        Margin of Error","±2,164","","","±2,105","±113","±365","±262","±51","±227","±433","±410","±2,029","","±959","±1,027","±1,059","±1,080","±778","±696","±537","","±642","±1,424","±1,622","±1,787","","±728","±1,136","±1,403","±1,613","±1,175","±1,002"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,471","","","94.4%","0.1%","3.0%","0.6%","0.0%","0.4%","1.6%","1.9%","93.0%","","10.7%","14.8%","16.9%","24.5%","20.3%","9.8%","3.0%","","4.5%","25.2%","33.3%","37.1%","","5.5%","9.5%","20.9%","29.4%","17.2%","17.6%"
"        Margin of Error","±2,164","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","","±0.2","±0.5","±0.5","±0.5","","±0.2","±0.4","±0.4","±0.5","±0.4","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","136,400","","","119,117","1,043","9,632","1,269","188","828","4,323","5,700","115,356","","54,497","22,511","17,433","18,313","11,707","7,266","4,673","","10,452","40,086","50,905","34,957","","30,076","36,769","43,644","18,113","4,460","3,338"
"        Margin of Error","±2,173","","","±2,178","±237","±525","±304","±112","±214","±451","±526","±2,003","","±1,418","±1,037","±946","±958","±606","±539","±398","","±616","±1,298","±1,549","±1,399","","±1,213","±1,523","±1,555","±891","±388","±287"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","136,400","","","87.3%","0.8%","7.1%","0.9%","0.1%","0.6%","3.2%","4.2%","84.6%","","40.0%","16.5%","12.8%","13.4%","8.6%","5.3%","3.4%","","7.7%","29.4%","37.3%","25.6%","","22.0%","27.0%","32.0%","13.3%","3.3%","2.4%"
"        Margin of Error","±2,173","","","±0.5","±0.2","±0.4","±0.2","±0.1","±0.2","±0.3","±0.4","±0.5","","±0.8","±0.7","±0.7","±0.6","±0.4","±0.4","±0.3","","±0.4","±1.0","±0.9","±0.9","","±0.8","±1.0","±0.9","±0.7","±0.3","±0.2"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","759,176","","","683,391","34,227","5,197","13,934","303","11,285","10,839","55,799","641,373","","175,511","127,826","126,462","142,891","102,562","56,504","27,420","","55,395","184,815","268,691","250,275","","82,987","121,394","186,504","175,218","92,950","100,123"
"        Margin of Error","±2,333","","","±2,081","±714","±386","±483","±83","±780","±695","±942","±1,936","","±1,769","±1,034","±1,059","±1,038","±967","±844","±803","","±1,331","±2,181","±2,344","±2,767","","±1,745","±1,941","±2,475","±1,912","±1,420","±1,227"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","759,176","","","90.0%","4.5%","0.7%","1.8%","0.0%","1.5%","1.4%","7.3%","84.5%","","23.1%","16.8%","16.7%","18.8%","13.5%","7.4%","3.6%","","7.3%","24.3%","35.4%","33.0%","","10.9%","16.0%","24.6%","23.1%","12.2%","13.2%"
"        Margin of Error","±2,333","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.3","±0.2","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","501,679","","","472,039","10,290","2,242","6,419","177","5,553","4,959","27,486","451,346","","67,185","84,877","92,715","111,737","84,162","44,189","16,814","","28,316","115,587","170,676","187,100","","26,585","46,830","102,360","145,721","85,205","94,978"
"        Margin of Error","±2,973","","","±2,557","±566","±300","±328","±63","±530","±477","±953","±2,280","","±1,367","±1,107","±1,187","±1,170","±828","±790","±628","","±972","±1,702","±2,169","±2,112","","±873","±1,390","±1,825","±1,779","±1,377","±1,237"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","501,679","","","94.1%","2.1%","0.4%","1.3%","0.0%","1.1%","1.0%","5.5%","90.0%","","13.4%","16.9%","18.5%","22.3%","16.8%","8.8%","3.4%","","5.6%","23.0%","34.0%","37.3%","","5.3%","9.3%","20.4%","29.0%","17.0%","18.9%"
"        Margin of Error","±2,973","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","±0.1","","±0.2","±0.3","±0.4","±0.3","","±0.2","±0.3","±0.3","±0.3","±0.3","±0.3"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","257,497","","","211,352","23,937","2,955","7,515","126","5,732","5,880","28,313","190,027","","108,326","42,949","33,747","31,154","18,400","12,315","10,606","","27,079","69,228","98,015","63,175","","56,402","74,564","84,144","29,497","7,745","5,145"
"        Margin of Error","±2,236","","","±2,070","±870","±278","±481","±69","±525","±469","±983","±1,943","","±1,421","±1,271","±1,189","±874","±718","±626","±534","","±1,040","±1,609","±1,814","±1,566","","±1,546","±1,557","±1,583","±1,004","±464","±419"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","257,497","","","82.1%","9.3%","1.1%","2.9%","0.0%","2.2%","2.3%","11.0%","73.8%","","42.1%","16.7%","13.1%","12.1%","7.1%","4.8%","4.1%","","10.5%","26.9%","38.1%","24.5%","","21.9%","29.0%","32.7%","11.5%","3.0%","2.0%"
"        Margin of Error","±2,236","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.2","±0.2","±0.4","±0.5","","±0.5","±0.5","±0.4","±0.3","±0.3","±0.2","±0.2","","±0.4","±0.6","±0.6","±0.6","","±0.6","±0.5","±0.6","±0.4","±0.2","±0.2"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,098,602","","","781,185","100,269","13,422","79,792","6,034","83,425","34,475","232,855","645,317","","219,528","199,581","204,892","204,080","166,944","79,964","23,613","","120,516","268,943","407,110","302,033","","159,948","218,876","330,728","241,756","101,600","45,694"
"        Margin of Error","±3,380","","","±3,128","±1,472","±783","±1,242","±485","±1,875","±1,416","±1,847","±2,552","","±2,496","±1,888","±2,041","±1,645","±1,605","±1,287","±872","","±2,396","±2,995","±3,574","±3,610","","±2,867","±2,989","±3,704","±2,935","±1,715","±1,119"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,098,602","","","71.1%","9.1%","1.2%","7.3%","0.5%","7.6%","3.1%","21.2%","58.7%","","20.0%","18.2%","18.7%","18.6%","15.2%","7.3%","2.1%","","11.0%","24.5%","37.1%","27.5%","","14.6%","19.9%","30.1%","22.0%","9.2%","4.2%"
"        Margin of Error","±3,380","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","618,605","","","481,218","29,330","6,760","50,564","1,732","33,307","15,694","106,939","412,858","","68,244","98,075","119,156","136,020","120,547","60,490","16,073","","51,769","136,195","224,003","206,638","","50,981","77,329","156,715","198,093","92,715","42,772"
"        Margin of Error","±4,381","","","±3,783","±993","±505","±1,096","±278","±1,353","±851","±2,035","±2,777","","±1,777","±1,789","±2,204","±1,843","±1,440","±1,151","±724","","±1,619","±2,204","±3,069","±3,125","","±1,498","±1,677","±2,681","±2,594","±1,711","±1,112"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","618,605","","","77.8%","4.7%","1.1%","8.2%","0.3%","5.4%","2.5%","17.3%","66.7%","","11.0%","15.9%","19.3%","22.0%","19.5%","9.8%","2.6%","","8.4%","22.0%","36.2%","33.4%","","8.2%","12.5%","25.3%","32.0%","15.0%","6.9%"
"        Margin of Error","±4,381","","","±0.3","±0.2","±0.1","±0.2","±0.1","±0.2","±0.1","±0.3","±0.3","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.2","±0.3","±0.4","±0.3","±0.3","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","479,997","","","299,967","70,939","6,662","29,228","4,302","50,118","18,781","125,916","232,459","","151,284","101,506","85,736","68,060","46,397","19,474","7,540","","68,747","132,748","183,107","95,395","","108,967","141,547","174,013","43,663","8,885","2,922"
"        Margin of Error","±3,468","","","±3,266","±1,584","±580","±1,098","±425","±1,708","±1,087","±1,894","±2,896","","±2,130","±1,831","±1,921","±1,617","±1,256","±940","±514","","±1,897","±2,463","±2,680","±2,087","","±2,537","±2,505","±2,818","±1,347","±748","±284"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","479,997","","","62.5%","14.8%","1.4%","6.1%","0.9%","10.4%","3.9%","26.2%","48.4%","","31.5%","21.1%","17.9%","14.2%","9.7%","4.1%","1.6%","","14.3%","27.7%","38.1%","19.9%","","22.7%","29.5%","36.3%","9.1%","1.9%","0.6%"
"        Margin of Error","±3,468","","","±0.5","±0.3","±0.1","±0.2","±0.1","±0.3","±0.2","±0.3","±0.5","","±0.4","±0.4","±0.4","±0.3","±0.3","±0.2","±0.1","","±0.4","±0.4","±0.5","±0.4","","±0.5","±0.5","±0.6","±0.3","±0.2","±0.1"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","532,037","","","504,467","6,381","887","11,344","107","2,046","6,805","13,145","494,425","","83,993","79,547","105,807","121,062","84,046","40,475","17,107","","30,245","129,993","162,068","209,731","","50,458","75,412","120,891","134,156","73,492","77,628"
"        Margin of Error","±2,311","","","±2,358","±442","±182","±569","±71","±301","±499","±579","±2,324","","±1,314","±1,152","±1,202","±1,056","±954","±842","±749","","±1,202","±2,269","±2,359","±2,495","","±1,648","±1,863","±2,052","±2,264","±1,588","±1,540"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","532,037","","","94.8%","1.2%","0.2%","2.1%","0.0%","0.4%","1.3%","2.5%","92.9%","","15.8%","15.0%","19.9%","22.8%","15.8%","7.6%","3.2%","","5.7%","24.4%","30.5%","39.4%","","9.5%","14.2%","22.7%","25.2%","13.8%","14.6%"
"        Margin of Error","±2,311","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.2","±0.4","±0.4","±0.5","","±0.3","±0.3","±0.4","±0.4","±0.3","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378,178","","","364,903","2,065","447","6,385","85","798","3,495","5,247","360,683","","32,769","54,027","82,826","96,958","70,246","30,274","11,078","","15,201","85,043","111,300","166,634","","20,275","34,454","68,405","112,691","67,800","74,553"
"        Margin of Error","±2,687","","","±2,620","±370","±128","±418","±62","±213","±369","±484","±2,574","","±1,099","±1,113","±1,211","±1,089","±956","±744","±578","","±732","±1,933","±1,819","±2,233","","±1,070","±1,334","±1,482","±2,205","±1,509","±1,488"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378,178","","","96.5%","0.5%","0.1%","1.7%","0.0%","0.2%","0.9%","1.4%","95.4%","","8.7%","14.3%","21.9%","25.6%","18.6%","8.0%","2.9%","","4.0%","22.5%","29.4%","44.1%","","5.4%","9.1%","18.1%","29.8%","17.9%","19.7%"
"        Margin of Error","±2,687","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","","±0.2","±0.5","±0.5","±0.5","","±0.3","±0.3","±0.4","±0.5","±0.4","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","153,859","","","139,564","4,316","440","4,959","22","1,248","3,310","7,898","133,742","","51,224","25,520","22,981","24,104","13,800","10,201","6,029","","15,044","44,950","50,768","43,097","","30,183","40,958","52,486","21,465","5,692","3,075"
"        Margin of Error","±2,373","","","±2,296","±402","±143","±501","±24","±253","±349","±535","±2,250","","±1,200","±1,112","±1,063","±1,090","±655","±623","±584","","±1,008","±1,470","±1,679","±1,380","","±1,179","±1,332","±1,505","±1,040","±480","±356"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","153,859","","","90.7%","2.8%","0.3%","3.2%","0.0%","0.8%","2.2%","5.1%","86.9%","","33.3%","16.6%","14.9%","15.7%","9.0%","6.6%","3.9%","","9.8%","29.2%","33.0%","28.0%","","19.6%","26.6%","34.1%","14.0%","3.7%","2.0%"
"        Margin of Error","±2,373","","","±0.4","±0.3","±0.1","±0.3","±0.1","±0.2","±0.2","±0.3","±0.5","","±0.8","±0.6","±0.6","±0.6","±0.4","±0.4","±0.4","","±0.6","±0.9","±0.9","±0.9","","±0.7","±0.8","±0.8","±0.6","±0.3","±0.2"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,231,874","","","2,308,716","428,807","6,524","268,946","860","162,723","55,298","529,248","1,977,442","","460,678","566,283","681,961","673,348","471,398","256,691","121,515","","287,144","801,992","777,741","1,364,997","","261,249","408,480","737,118","856,461","470,977","497,589"
"        Margin of Error","±7,167","","","±6,810","±3,010","±482","±1,928","±220","±2,939","±1,595","±2,449","±5,516","","±4,028","±2,944","±3,161","±2,745","±2,426","±2,508","±2,067","","±3,918","±5,876","±5,498","±8,849","","±3,196","±4,332","±5,357","±5,462","±5,099","±4,107"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,231,874","","","71.4%","13.3%","0.2%","8.3%","0.0%","5.0%","1.7%","16.4%","61.2%","","14.3%","17.5%","21.1%","20.8%","14.6%","7.9%","3.8%","","8.9%","24.8%","24.1%","42.2%","","8.1%","12.6%","22.8%","26.5%","14.6%","15.4%"
"        Margin of Error","±7,167","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,064,240","","","1,647,816","166,721","3,271","168,763","408","49,201","28,060","192,973","1,517,427","","147,580","317,689","465,147","495,606","359,400","193,679","85,139","","114,140","458,699","483,165","1,008,236","","92,893","147,832","322,581","633,248","409,176","458,510"
"        Margin of Error","±11,449","","","±8,504","±2,493","±332","±2,040","±154","±1,689","±1,250","±3,297","±6,819","","±2,837","±3,794","±3,794","±3,357","±2,677","±2,293","±1,805","","±2,094","±4,051","±4,506","±8,338","","±1,988","±2,575","±3,662","±5,620","±4,693","±3,978"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,064,240","","","79.8%","8.1%","0.2%","8.2%","0.0%","2.4%","1.4%","9.3%","73.5%","","7.1%","15.4%","22.5%","24.0%","17.4%","9.4%","4.1%","","5.5%","22.2%","23.4%","48.8%","","4.5%","7.2%","15.6%","30.7%","19.8%","22.2%"
"        Margin of Error","±11,449","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.1","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,167,634","","","660,900","262,086","3,253","100,183","452","113,522","27,238","336,275","460,015","","313,098","248,594","216,814","177,742","111,998","63,012","36,376","","173,004","343,293","294,576","356,761","","168,356","260,648","414,537","223,213","61,801","39,079"
"        Margin of Error","±7,419","","","±5,718","±3,445","±388","±2,005","±148","±2,508","±1,212","±3,489","±4,734","","±3,448","±3,708","±3,093","±3,031","±1,953","±1,424","±1,353","","±3,479","±5,368","±4,149","±3,657","","±2,807","±3,740","±4,941","±3,308","±1,770","±1,260"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,167,634","","","56.6%","22.4%","0.3%","8.6%","0.0%","9.7%","2.3%","28.8%","39.4%","","26.8%","21.3%","18.6%","15.2%","9.6%","5.4%","3.1%","","14.8%","29.4%","25.2%","30.6%","","14.4%","22.3%","35.5%","19.1%","5.3%","3.3%"
"        Margin of Error","±7,419","","","±0.3","±0.3","±0.1","±0.2","±0.1","±0.2","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.3","±0.3","","±0.2","±0.3","±0.3","±0.2","±0.2","±0.1"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","780,249","","","618,068","15,916","56,422","10,292","448","61,562","17,541","330,703","362,325","","146,042","123,377","132,218","158,801","128,934","67,054","23,823","","99,250","179,254","263,430","238,315","","75,369","114,088","171,738","199,991","106,526","112,537"
"        Margin of Error","±3,071","","","±3,092","±706","±1,049","±556","±121","±1,707","±963","±2,387","±1,975","","±2,375","±1,845","±1,495","±1,316","±1,390","±1,269","±816","","±2,439","±3,010","±3,178","±3,295","","±2,191","±2,432","±2,646","±2,915","±1,959","±2,085"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","780,249","","","79.2%","2.0%","7.2%","1.3%","0.1%","7.9%","2.2%","42.4%","46.4%","","18.7%","15.8%","16.9%","20.4%","16.5%","8.6%","3.1%","","12.7%","23.0%","33.8%","30.5%","","9.7%","14.6%","22.0%","25.6%","13.7%","14.4%"
"        Margin of Error","±3,071","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.2","","±0.3","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","527,896","","","430,910","6,398","34,707","5,633","216","39,902","10,130","216,718","261,706","","53,770","74,445","93,698","124,528","106,406","56,512","18,537","","60,817","119,166","169,610","178,303","","25,282","41,466","90,404","167,417","97,342","105,985"
"        Margin of Error","±3,932","","","±3,520","±483","±816","±438","±78","±1,321","±697","±2,510","±2,277","","±1,564","±1,744","±1,966","±1,674","±1,488","±1,086","±726","","±1,731","±2,368","±2,229","±3,007","","±1,150","±1,357","±1,909","±2,892","±1,844","±1,980"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","527,896","","","81.6%","1.2%","6.6%","1.1%","0.0%","7.6%","1.9%","41.1%","49.6%","","10.2%","14.1%","17.7%","23.6%","20.2%","10.7%","3.5%","","11.5%","22.6%","32.1%","33.8%","","4.8%","7.9%","17.1%","31.7%","18.4%","20.1%"
"        Margin of Error","±3,932","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.3","±0.3","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.2","±0.3","±0.3","±0.5","±0.3","±0.3"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252,353","","","187,158","9,518","21,715","4,659","232","21,660","7,411","113,985","100,619","","92,272","48,932","38,520","34,273","22,528","10,542","5,286","","38,433","60,088","93,820","60,012","","50,087","72,622","81,334","32,574","9,184","6,552"
"        Margin of Error","±3,017","","","±2,566","±703","±816","±452","±121","±1,234","±658","±2,316","±1,794","","±2,123","±1,776","±1,428","±1,394","±1,020","±684","±489","","±1,710","±1,835","±2,337","±1,580","","±1,828","±2,076","±1,985","±1,229","±792","±542"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252,353","","","74.2%","3.8%","8.6%","1.8%","0.1%","8.6%","2.9%","45.2%","39.9%","","36.6%","19.4%","15.3%","13.6%","8.9%","4.2%","2.1%","","15.2%","23.8%","37.2%","23.8%","","19.8%","28.8%","32.2%","12.9%","3.6%","2.6%"
"        Margin of Error","±3,017","","","±0.7","±0.3","±0.3","±0.2","±0.1","±0.5","±0.3","±0.7","±0.7","","±0.7","±0.6","±0.5","±0.6","±0.4","±0.3","±0.2","","±0.6","±0.7","±0.8","±0.6","","±0.7","±0.7","±0.7","±0.5","±0.3","±0.2"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,343,234","","","5,025,821","1,091,282","28,195","526,705","2,750","510,187","158,294","1,134,496","4,534,313","","1,277,537","1,222,784","1,425,787","1,477,528","1,078,544","587,558","273,496","","839,499","1,742,664","1,876,775","2,884,296","","574,521","885,800","1,674,406","1,810,100","1,068,196","1,330,211"
"        Margin of Error","±14,943","","","±13,242","±4,623","±1,150","±3,358","±463","±5,963","±3,712","±4,851","±9,575","","±7,723","±4,512","±4,671","±4,434","±4,144","±4,384","±2,893","","±6,444","±8,292","±8,458","±18,619","","±5,644","±6,875","±9,546","±8,841","±7,445","±7,026"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,343,234","","","68.4%","14.9%","0.4%","7.2%","0.0%","6.9%","2.2%","15.4%","61.7%","","17.4%","16.7%","19.4%","20.1%","14.7%","8.0%","3.7%","","11.4%","23.7%","25.6%","39.3%","","7.8%","12.1%","22.8%","24.6%","14.5%","18.1%"
"        Margin of Error","±14,943","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,957,802","","","3,198,612","341,480","10,972","255,492","822","95,888","54,536","291,250","3,027,945","","312,106","577,006","840,268","958,433","725,189","382,126","162,674","","263,097","892,884","1,047,727","1,754,094","","150,602","260,547","618,147","1,121,102","770,856","1,036,548"
